"id","Protein_ID","norm_rel_fc_127N_Control","norm_rel_fc_128N_Control","norm_rel_fc_129N_Control","norm_rel_fc_130N_Control","norm_rel_fc_131N_Control","norm_rel_fc_127C_Control","norm_rel_fc_128C_Control","norm_rel_fc_129C_Control","norm_rel_fc_130C_Control","norm_rel_fc_131C_Control","a_Control","b_Control","meltPoint_Control","inflPoint_Control","slope_Control","plateau_Control","R_sq_Control","diff_meltP_RNase_vs_Control","min_slope_RNase_vs_Control","pVal_adj_RNase_vs_Control","passed_filter_RNase_vs_Control","protein_identified_in_Control","model_converged_Control","sufficient_data_for_fit_Control","qupm_Control","qssm_Control","count","mean_dist","p_value","p_adj"
"17S U2 snRNP","DNAJC8",0.998436795780268,1.02789720339482,0.92670644067718,1.07661852424742,1.12137027131121,1.31787267090223,0.944806125608618,1.00558511975446,0.776657623357316,0.720973409344548,15000,231.80186905679,NA,64.7056274105271,-0.249988587595227,0.720870821054096,0.492580608899893,NA,-0.249988587595227,NA,FALSE,TRUE,TRUE,TRUE,22,927,32,1.0306172012129,0.2527,0.5074
"17S U2 snRNP","SNRPA1",0.998436795780268,0.985563697367863,0.91184074579167,0.951568212108733,0.920477709198919,0.988526200690947,0.372401413949595,0.30288916129675,0.236861589871817,0.211978727705717,2820.26606965026,50.2809039125851,56.8612241973999,56.0016912725054,-0.168986660303654,0.247147114689641,0.98171968556142,0,-0.168986660303654,NA,TRUE,TRUE,TRUE,TRUE,18,690,32,1.0306172012129,0.2527,0.5074
"17S U2 snRNP","TRAP1",0.998436795780268,0.985146004244515,1.08411132170839,1.12738823088275,1.01334260889457,0.841214746986503,0.376982171416917,0.31214078074285,0.24116617828125,0.221908502792845,1584.96509566126,28.8660839121863,56.2080794914422,54.6460303783987,-0.0998888283823346,0.243612500484632,0.979076709958761,0,-0.0998888283823346,NA,TRUE,TRUE,TRUE,TRUE,22,611,32,1.0306172012129,0.2527,0.5074
"17S U2 snRNP","SNRPD2",0.998436795780268,1.03534132531203,0.866482894599259,1.02377974472903,1.12424378771544,1.42622875732095,1.20637023112508,1.26115473725333,0.790932155033366,0.574273196962192,15000,230.37596254604,NA,65.106054289824,-0.377177605431746,0.573626608460213,0.396847226970532,NA,-0.377177605431746,NA,FALSE,TRUE,TRUE,TRUE,12,1120,32,1.0306172012129,0.2527,0.5074
"17S U2 snRNP","SF3A2",0.998436795780268,1.02781313127774,0.798798856172365,0.929683299197586,0.729238432239773,0.396053450252147,0.242707522098412,0.187499419587857,0.184019942125792,0.1576989275739,790.065959893775,15.7824131219476,51.2066247766458,49.2768679255608,-0.0681562812435811,0.148862699860406,0.97686851571677,0,-0.0681562812435811,NA,TRUE,TRUE,TRUE,TRUE,7,188,32,1.0306172012129,0.2527,0.5074
"17S U2 snRNP","SF3B5",0.998436795780268,1.00632684886575,0.991379035199827,1.19472859854336,1.18825971436124,1.18968846713682,0.571566081684293,0.441111889077241,0.398023166151149,0.364055449873654,5958.85642883806,103.836099578669,58.2961162792189,57.3658598633681,-0.271077564470649,0.40095605041652,0.897580735208098,0,-0.271077564470649,NA,FALSE,TRUE,TRUE,TRUE,5,160,32,1.0306172012129,0.2527,0.5074
"17S U2 snRNP","SF3A1",0.998436795780268,0.948489666575987,0.77081970357727,0.938228951113583,0.83552390712747,0.835773020991751,0.413366905047385,0.317449290114721,0.269384223193585,0.227713931805929,509.807838184045,8.87275701434122,57.4576490918183,54.7636491388777,-0.0405358177065313,0,0.933401666287819,0,-0.0405358177065313,NA,TRUE,TRUE,TRUE,TRUE,33,1005,32,1.0306172012129,0.2527,0.5074
"17S U2 snRNP","CHERP",0.998436795780268,0.916341873590632,1.0122944986322,1.03751852402663,0.955901204470124,0.78695285731152,0.494680438987866,0.405347519724999,0.312004853965604,0.247353120202856,885.882323135537,15.8406862668792,58.1702247123375,55.0559904114623,-0.0554807923092871,0.228745343562639,0.984409382665947,0,-0.0554807923092871,NA,TRUE,TRUE,TRUE,TRUE,8,130,32,1.0306172012129,0.2527,0.5074
"17S U2 snRNP","U2SURP",0.998436795780268,0.96996660793966,0.996550872362734,1.06748770068413,1.02971265711302,0.783688385621458,0.455881917752448,0.248922269753157,0.181726669822179,0.206073291413031,1144.68031734031,20.5110468951865,56.8943365999259,55.2856326776827,-0.0777248484506675,0.162024089875136,0.989450453405914,0,-0.0777248484506675,NA,TRUE,TRUE,TRUE,TRUE,9,118,32,1.0306172012129,0.2527,0.5074
"17S U2 snRNP","SNRPD1",0.998436795780268,0.976779305727533,0.749092590368917,0.898221586793622,1.0442122314189,0.79577584162988,1.08587375068409,0.712093449150781,0.616168421336194,0.472743365561606,4176.77681444845,67.6308755064966,NA,61.7045023174723,-0.128091579441146,0.532531556119977,0.62675182128418,NA,-0.128091579441146,NA,FALSE,TRUE,TRUE,TRUE,5,320,32,1.0306172012129,0.2527,0.5074
"17S U2 snRNP","PUF60",0.998436795780268,0.995536821928228,1.11207786898448,1.04520544497854,0.985598890499161,0.751639736521304,0.423982216300193,0.339937793773965,0.254029412248524,0.232668875367383,1146.16455707464,20.9868830973495,56.3955238395844,54.1247767311599,-0.0734418074740628,0.242400222807379,0.982575982509332,0,-0.0734418074740628,NA,TRUE,TRUE,TRUE,TRUE,22,981,32,1.0306172012129,0.2527,0.5074
"17S U2 snRNP","SF3A3",0.998436795780268,0.943790976682854,0.76186371654937,0.779917987906342,0.59597615062783,0.326608985981213,0.210008327844138,0.187580471056064,0.138682467563465,0.130982063692125,567.675674164654,11.701570946288,49.4462469807393,47.1609353822334,-0.0558973827212439,0.0991047620614011,0.98966751326514,0,-0.0558973827212439,NA,TRUE,TRUE,TRUE,TRUE,20,537,32,1.0306172012129,0.2527,0.5074
"17S U2 snRNP","SNRPF",0.998436795780268,1.01143110292263,1.22121162985518,0.921398169650651,0.963873123588019,1.05600293837598,0.883635463160515,0.941244267310093,0.801313263581247,0.744334436144938,866.073937981015,11.8394430562531,NA,NA,NA,0,0.572167192142563,NA,NA,NA,FALSE,TRUE,TRUE,TRUE,7,900,32,1.0306172012129,0.2527,0.5074
"17S U2 snRNP","SF3B1",0.998436795780268,0.889656057273638,0.941680727325159,0.771121552529304,0.57807684437246,0.577279258594,0.292721946702418,0.266649653821059,0.233607550973057,0.216491940024495,481.353134153077,9.55033163128384,52.2099340496464,48.3404101532916,-0.0424607950645205,0.140811809422803,0.971060906838394,0,-0.0424607950645205,NA,TRUE,TRUE,TRUE,TRUE,33,668,32,1.0306172012129,0.2527,0.5074
"17S U2 snRNP","SF3B3",0.998436795780268,1.02756738723103,1.07563557049954,1.1359447062568,1.22596185584158,1.16728581104798,0.861433586178202,0.585497160585938,0.436090166520252,0.348524726577562,1770.33524206126,28.956460097711,63.3213175925845,60.8484703658524,-0.0814014022677457,0.315784646285711,0.881752922994921,0,-0.0814014022677457,NA,FALSE,TRUE,TRUE,TRUE,43,2430,32,1.0306172012129,0.2527,0.5074
"17S U2 snRNP","SNRPG",0.998436795780268,1.01731901044021,1.43449153801994,1.00835482781539,0.999102935255169,1.03703046372098,1.15085978232953,0.999097688796627,0.822988829666849,0.729709290031575,8537.76235300378,131.751298897909,NA,64.7871854729292,-0.139239792779187,0.726121744491626,0.320270219151351,NA,-0.139239792779187,NA,FALSE,TRUE,TRUE,TRUE,6,779,32,1.0306172012129,0.2527,0.5074
"17S U2 snRNP","SF3B6",0.998436795780268,0.874899953947448,0.820646098674952,0.796424569295121,0.647911761682517,0.728114522639931,0.382444083328523,0.264789585348135,0.243629940789569,0.228697381318968,362.175983593198,6.62447342812807,54.6724170696258,50.3343694352862,-0.0329769403534674,0,0.952481655564245,0,-0.0329769403534674,NA,TRUE,TRUE,TRUE,TRUE,5,120,32,1.0306172012129,0.2527,0.5074
"17S U2 snRNP","PHF5A",0.998436795780268,0.938915595561765,0.945173848967539,1.00171819484034,0.995907225703124,0.838143107935178,0.561918214324945,0.300721859262143,0.339163074835455,0.282950412412055,1098.89440285634,19.4991864552451,58.4567745527054,55.7732132039201,-0.0653891958390347,0.251900107035707,0.985061153552231,0,-0.0653891958390347,NA,TRUE,TRUE,TRUE,TRUE,9,554,32,1.0306172012129,0.2527,0.5074
"17S U2 snRNP","SNRPE",0.998436795780268,0.999785480779793,0.971542273940313,0.953820469490512,0.944450093686902,0.843418879500321,0.616778517161612,0.532535056626086,0.41969010177158,0.356051174370778,577.414508919429,9.56925183681253,62.2067615189629,57.8819255153392,-0.0361948470079712,0.124770548188452,0.99519154814556,0,-0.0361948470079712,NA,TRUE,TRUE,TRUE,TRUE,6,350,32,1.0306172012129,0.2527,0.5074
"17S U2 snRNP","U2AF2",0.998436795780268,0.878076527126076,0.964286029990936,0.871694619849835,0.708903087980111,0.44701154450795,0.16997375489319,0.135888543282689,0.100058779310243,0.0764091738012192,721.739784473692,14.1391506082928,51.4196578962624,50.0569581893795,-0.067171812351648,0.0488855247556293,0.99033044073751,0,-0.067171812351648,NA,TRUE,TRUE,TRUE,TRUE,12,341,32,1.0306172012129,0.2527,0.5074
"17S U2 snRNP","SMNDC1",0.998436795780268,1.00046506962011,0.86045147396629,1.0182132325873,1.05207445112362,1.59261167260736,1.1246870958092,1.60081996404158,1.36399959932074,1.39761803840076,12168.901613375,250,NA,48.6724914221889,0.534114959273385,1.41594729287746,0.728347342114337,NA,0.534114959273385,NA,FALSE,TRUE,TRUE,TRUE,5,90,32,1.0306172012129,0.2527,0.5074
"17S U2 snRNP","SNRPD3",0.998436795780268,1.03535165780722,1.0446400169745,1.02229129479876,1.1128992121043,1.45571193944668,1.46854924000863,1.42053044051364,0.98127547371158,0.717426884688327,15000,227.746622441855,NA,65.8575883992211,-0.249412288982931,0.71150936555689,-0.143419680234142,NA,-0.249412288982931,NA,FALSE,TRUE,TRUE,TRUE,5,500,32,1.0306172012129,0.2527,0.5074
"17S U2 snRNP","DHX15",0.998436795780268,1.16754198587705,1.09536505544373,1.04262995295243,1.01863317706811,0.567155411774004,0.445719277861915,0.290023134781311,0.205045691764273,0.188756219828171,1187.91275221042,22.4411939533143,54.4832387929811,52.5195122563207,-0.0816353006408083,0.235805784273078,0.94574594631811,0,-0.0816353006408083,NA,TRUE,TRUE,TRUE,TRUE,29,874,32,1.0306172012129,0.2527,0.5074
"17S U2 snRNP","SF3B2",0.998436795780268,0.891449390104051,0.914466458764309,0.986946332521258,0.898954908961223,0.864887488848817,0.450160930409731,0.329390937952393,0.288920846026326,0.259781333075081,1105.64514775856,19.9068161744666,57.4308781842999,54.989649958054,-0.0687575038357734,0.240295058827227,0.971300340145749,0,-0.0687575038357734,NA,TRUE,TRUE,TRUE,TRUE,30,849,32,1.0306172012129,0.2527,0.5074
"17S U2 snRNP","SNRPB2",0.998436795780268,1.02428083238932,1.02386080021972,0.967840421964628,0.986819474037188,1.08747515141463,0.394480777843279,0.324042900423613,0.273668189830692,0.234435178735522,6754.22657588797,118.295710986207,57.4893019295605,57.0798116324281,-0.374414684667587,0.277352701187676,0.988540621815611,0,-0.374414684667587,NA,TRUE,TRUE,TRUE,TRUE,7,189,32,1.0306172012129,0.2527,0.5074
"17S U2 snRNP","RBM17",0.998436795780268,0.944709435767722,0.938360122157399,1.09985175514389,1.03691153851678,0.955231653455132,0.518559650793913,0.494782215891255,0.425394275284094,0.381610959523956,2169.58074229528,39.0234968055515,58.4869734171319,55.4513830846484,-0.100757052991199,0.427308636110241,0.967328096652498,0,-0.100757052991199,NA,FALSE,TRUE,TRUE,TRUE,9,120,32,1.0306172012129,0.2527,0.5074
"17S U2 snRNP","U2AF1",0.998436795780268,0.74005995095826,0.566078043903076,0.555663273850911,0.32217871056265,0.139919081326705,0.0713581085905454,0.0870230112640885,0.0589947852401971,0.0571921316733914,511.071183675488,11.4726385970692,44.7870862582857,43.257973867793,-0.0643444251360882,0.0298269204232623,0.978480241445495,0,-0.0643444251360882,NA,TRUE,TRUE,TRUE,TRUE,8,199,32,1.0306172012129,0.2527,0.5074
"17S U2 snRNP","DDX46",0.998436795780268,0.85130718794866,1.02240332790177,0.831846011504183,0.549845132282333,0.733830577251832,0.316597325763556,0.347835118560171,0.309406392635318,0.281584313406473,464.398509650309,8.98334811111258,54.5233544811393,49.3265296379569,-0.0370783606177558,0.186223114547935,0.883091079723456,0,-0.0370783606177558,NA,TRUE,TRUE,TRUE,TRUE,16,229,32,1.0306172012129,0.2527,0.5074
"17S U2 snRNP","SNRPB",0.998436795780268,1.08364794740879,1.23947333276637,1.03346322621592,1.09581647880068,1.60950767327925,1.25519235054437,1.45270124656009,0.895975830706515,0.683344880456597,15000,229.695160762407,NA,65.298999072911,-0.279298084538721,0.682398465134616,-0.109185957319091,NA,-0.279298084538721,NA,FALSE,TRUE,TRUE,TRUE,9,728,32,1.0306172012129,0.2527,0.5074
"18S U11/U12 snRNP","SNRPF",0.998436795780268,1.01143110292263,1.22121162985518,0.921398169650651,0.963873123588019,1.05600293837598,0.883635463160515,0.941244267310093,0.801313263581247,0.744334436144938,866.073937981015,11.8394430562531,NA,NA,NA,0,0.572167192142563,NA,NA,NA,FALSE,TRUE,TRUE,TRUE,7,900,16,1.46108836937773,0.8273,0.905558108108108
"18S U11/U12 snRNP","SNRPG",0.998436795780268,1.01731901044021,1.43449153801994,1.00835482781539,0.999102935255169,1.03703046372098,1.15085978232953,0.999097688796627,0.822988829666849,0.729709290031575,8537.76235300378,131.751298897909,NA,64.7871854729292,-0.139239792779187,0.726121744491626,0.320270219151351,NA,-0.139239792779187,NA,FALSE,TRUE,TRUE,TRUE,6,779,16,1.46108836937773,0.8273,0.905558108108108
"18S U11/U12 snRNP","SF3B3",0.998436795780268,1.02756738723103,1.07563557049954,1.1359447062568,1.22596185584158,1.16728581104798,0.861433586178202,0.585497160585938,0.436090166520252,0.348524726577562,1770.33524206126,28.956460097711,63.3213175925845,60.8484703658524,-0.0814014022677457,0.315784646285711,0.881752922994921,0,-0.0814014022677457,NA,FALSE,TRUE,TRUE,TRUE,43,2430,16,1.46108836937773,0.8273,0.905558108108108
"18S U11/U12 snRNP","SF3B5",0.998436795780268,1.00632684886575,0.991379035199827,1.19472859854336,1.18825971436124,1.18968846713682,0.571566081684293,0.441111889077241,0.398023166151149,0.364055449873654,5958.85642883806,103.836099578669,58.2961162792189,57.3658598633681,-0.271077564470649,0.40095605041652,0.897580735208098,0,-0.271077564470649,NA,FALSE,TRUE,TRUE,TRUE,5,160,16,1.46108836937773,0.8273,0.905558108108108
"18S U11/U12 snRNP","SNRPB",0.998436795780268,1.08364794740879,1.23947333276637,1.03346322621592,1.09581647880068,1.60950767327925,1.25519235054437,1.45270124656009,0.895975830706515,0.683344880456597,15000,229.695160762407,NA,65.298999072911,-0.279298084538721,0.682398465134616,-0.109185957319091,NA,-0.279298084538721,NA,FALSE,TRUE,TRUE,TRUE,9,728,16,1.46108836937773,0.8273,0.905558108108108
"18S U11/U12 snRNP","PRPF8",0.998436795780268,0.836360323989541,0.904884595891249,0.786267340722441,0.552240286773399,0.803065857567188,0.248350166619634,0.192553135377622,0.176525739873146,0.159791988802274,426.667486271942,8.01486930846142,53.2344907741222,50.2271959231061,-0.0399378815392748,0,0.885932349809015,0,-0.0399378815392748,NA,TRUE,TRUE,TRUE,TRUE,27,468,16,1.46108836937773,0.8273,0.905558108108108
"18S U11/U12 snRNP","SF3B6",0.998436795780268,0.874899953947448,0.820646098674952,0.796424569295121,0.647911761682517,0.728114522639931,0.382444083328523,0.264789585348135,0.243629940789569,0.228697381318968,362.175983593198,6.62447342812807,54.6724170696258,50.3343694352862,-0.0329769403534674,0,0.952481655564245,0,-0.0329769403534674,NA,TRUE,TRUE,TRUE,TRUE,5,120,16,1.46108836937773,0.8273,0.905558108108108
"18S U11/U12 snRNP","YBX1",0.998436795780268,0.955896202071355,0.911725697004338,1.05641433591427,1.10303725487774,1.90208287094878,2.07260357333334,2.89619442773919,2.80553006566109,2.7462238276335,12140.1446968079,250,NA,48.5574715945254,0.643567287248399,1.5,0.100198188881255,NA,0.643567287248399,NA,FALSE,TRUE,TRUE,TRUE,15,1322,16,1.46108836937773,0.8273,0.905558108108108
"18S U11/U12 snRNP","SNRPD2",0.998436795780268,1.03534132531203,0.866482894599259,1.02377974472903,1.12424378771544,1.42622875732095,1.20637023112508,1.26115473725333,0.790932155033366,0.574273196962192,15000,230.37596254604,NA,65.106054289824,-0.377177605431746,0.573626608460213,0.396847226970532,NA,-0.377177605431746,NA,FALSE,TRUE,TRUE,TRUE,12,1120,16,1.46108836937773,0.8273,0.905558108108108
"18S U11/U12 snRNP","SF3B4",0.998436795780268,1.06807364930766,0.924924465937519,1.04817680639194,1.11293310473561,1.58217742332973,0.907339318618945,0.662356960149842,0.762308355280759,0.679082949268573,14521.2834079078,250,NA,58.0814167006406,-0.321478240204721,0.701249414958313,0.421760131289788,NA,-0.321478240204721,NA,FALSE,TRUE,TRUE,TRUE,3,70,16,1.46108836937773,0.8273,0.905558108108108
"18S U11/U12 snRNP","SNRPD1",0.998436795780268,0.976779305727533,0.749092590368917,0.898221586793622,1.0442122314189,0.79577584162988,1.08587375068409,0.712093449150781,0.616168421336194,0.472743365561606,4176.77681444845,67.6308755064966,NA,61.7045023174723,-0.128091579441146,0.532531556119977,0.62675182128418,NA,-0.128091579441146,NA,FALSE,TRUE,TRUE,TRUE,5,320,16,1.46108836937773,0.8273,0.905558108108108
"18S U11/U12 snRNP","SNRPE",0.998436795780268,0.999785480779793,0.971542273940313,0.953820469490512,0.944450093686902,0.843418879500321,0.616778517161612,0.532535056626086,0.41969010177158,0.356051174370778,577.414508919429,9.56925183681253,62.2067615189629,57.8819255153392,-0.0361948470079712,0.124770548188452,0.99519154814556,0,-0.0361948470079712,NA,TRUE,TRUE,TRUE,TRUE,6,350,16,1.46108836937773,0.8273,0.905558108108108
"18S U11/U12 snRNP","SF3B2",0.998436795780268,0.891449390104051,0.914466458764309,0.986946332521258,0.898954908961223,0.864887488848817,0.450160930409731,0.329390937952393,0.288920846026326,0.259781333075081,1105.64514775856,19.9068161744666,57.4308781842999,54.989649958054,-0.0687575038357734,0.240295058827227,0.971300340145749,0,-0.0687575038357734,NA,TRUE,TRUE,TRUE,TRUE,30,849,16,1.46108836937773,0.8273,0.905558108108108
"18S U11/U12 snRNP","SF3B1",0.998436795780268,0.889656057273638,0.941680727325159,0.771121552529304,0.57807684437246,0.577279258594,0.292721946702418,0.266649653821059,0.233607550973057,0.216491940024495,481.353134153077,9.55033163128384,52.2099340496464,48.3404101532916,-0.0424607950645205,0.140811809422803,0.971060906838394,0,-0.0424607950645205,NA,TRUE,TRUE,TRUE,TRUE,33,668,16,1.46108836937773,0.8273,0.905558108108108
"18S U11/U12 snRNP","DHX15",0.998436795780268,1.16754198587705,1.09536505544373,1.04262995295243,1.01863317706811,0.567155411774004,0.445719277861915,0.290023134781311,0.205045691764273,0.188756219828171,1187.91275221042,22.4411939533143,54.4832387929811,52.5195122563207,-0.0816353006408083,0.235805784273078,0.94574594631811,0,-0.0816353006408083,NA,TRUE,TRUE,TRUE,TRUE,29,874,16,1.46108836937773,0.8273,0.905558108108108
"18S U11/U12 snRNP","SNRPD3",0.998436795780268,1.03535165780722,1.0446400169745,1.02229129479876,1.1128992121043,1.45571193944668,1.46854924000863,1.42053044051364,0.98127547371158,0.717426884688327,15000,227.746622441855,NA,65.8575883992211,-0.249412288982931,0.71150936555689,-0.143419680234142,NA,-0.249412288982931,NA,FALSE,TRUE,TRUE,TRUE,5,500,16,1.46108836937773,0.8273,0.905558108108108
"20S methylosome and RG-containing Sm protein complex","SNRPD2",0.998436795780268,1.03534132531203,0.866482894599259,1.02377974472903,1.12424378771544,1.42622875732095,1.20637023112508,1.26115473725333,0.790932155033366,0.574273196962192,15000,230.37596254604,NA,65.106054289824,-0.377177605431746,0.573626608460213,0.396847226970532,NA,-0.377177605431746,NA,FALSE,TRUE,TRUE,TRUE,12,1120,6,1.15472568995929,0.5783,0.769483367556468
"20S methylosome and RG-containing Sm protein complex","SNRPD3",0.998436795780268,1.03535165780722,1.0446400169745,1.02229129479876,1.1128992121043,1.45571193944668,1.46854924000863,1.42053044051364,0.98127547371158,0.717426884688327,15000,227.746622441855,NA,65.8575883992211,-0.249412288982931,0.71150936555689,-0.143419680234142,NA,-0.249412288982931,NA,FALSE,TRUE,TRUE,TRUE,5,500,6,1.15472568995929,0.5783,0.769483367556468
